transaction_id,bill_amount,product_sold,discount_rate,transaction_date
TXN0008698,11997,Noise Cancelling Earbuds - 3,0,01-01-2023 00:13
TXN0012455,1998,USB-C Fast Charger - 2,1,01-01-2023 00:40
TXN0019450,2499,Bluetooth Speaker - 1,0,01-01-2023 06:06
TXN0011052,21796,Bluetooth Tracker - 1 ; LED Monitor 24 Inch - 2 ; Bluetooth Speaker - 1,2,01-01-2023 08:24
TXN0010411,16495,SSD 500GB - 5,0,01-01-2023 08:32
TXN0015463,7794,Wireless Earphones - 3 ; USB-C Fast Charger - 3,0,01-01-2023 10:54
TXN0013716,3498,Mini UPS for Router - 1 ; Smart Door Sensor - 1,0,01-01-2023 11:08
TXN0016024,6195,Ethernet Cable 5m - 3 ; Bluetooth Speaker - 2,0,01-01-2023 13:14
TXN0017891,2499,Bluetooth Speaker - 1,0,01-01-2023 14:46
TXN0013741,20997,Soundbar Home - 3,0,01-01-2023 15:18
TXN0018636,1998,USB-C Fast Charger - 2,0,01-01-2023 17:40
TXN0015718,7999,Action Camera 4K - 1,1,01-01-2023 17:58
TXN0003848,20994,USB-C Fast Charger - 2 ; Portable Projector Mini - 2 ; RGB Strip Light - 2,0,01-01-2023 18:54
TXN0002101,8496,Wireless Charging Pad - 3 ; Noise Cancelling Earbuds - 1,0,01-01-2023 20:39
TXN0006979,5997,Portable Power Bank 20000mAh - 3,0,01-01-2023 21:39
TXN0008059,3998,Portable Power Bank 20000mAh - 2,0,02-01-2023 00:41
TXN0011771,13996,Graphics Tablet Small - 4,3,02-01-2023 01:33
TXN0009054,5996,Webcam HD - 4,0,02-01-2023 03:14
TXN0016715,7495,Wireless Charging Pad - 5,0,02-01-2023 07:17
TXN0005173,5998,Gaming Headset - 2,0,02-01-2023 07:55
TXN0010391,35996,Portable Projector Mini - 4,0,02-01-2023 08:48
TXN0011741,23998,Laser Printer - 2,0,02-01-2023 08:57
TXN0003888,2097,USB Flash Drive 64GB - 3,0,02-01-2023 08:59
TXN0014766,10995,WiFi Router Dual Band - 5,0,02-01-2023 14:49
TXN0018590,13497,External Hard Drive 1TB - 3,0,02-01-2023 14:58
TXN0002627,7996,Portable Power Bank 20000mAh - 4,4,02-01-2023 16:47
TXN0014727,24995,Smartwatch Series A - 5,5,02-01-2023 17:12
TXN0003257,9897,SSD 500GB - 3,3,02-01-2023 17:14
TXN0001394,2199,WiFi Router Dual Band - 1,10,02-01-2023 19:33
TXN0008188,5697,Wireless Mouse - 2 ; External Hard Drive 1TB - 1,12,02-01-2023 21:03
TXN0010248,10094,USB Hub 4-Port - 1 ; Desk Microphone - 2 ; Wireless Charging Pad - 3,4,02-01-2023 21:24
TXN0015603,10494,Smart Door Sensor - 3 ; Mini UPS for Router - 3,0,02-01-2023 21:57
TXN0018980,13996,Mechanical Keyboard - 4,9,02-01-2023 22:02
TXN0014200,5995,USB-C Fast Charger - 3 ; Wireless Charging Pad - 2,0,02-01-2023 22:21
TXN0002196,3499,Mechanical Keyboard - 1,0,02-01-2023 23:12
TXN0017932,3299,SSD 500GB - 1,2,02-01-2023 23:47
TXN0009980,4998,Desk Microphone - 2,0,03-01-2023 00:16
TXN0001076,899,Laptop Cooling Pad - 1,0,03-01-2023 02:00
TXN0019473,14997,Smartwatch Series A - 3,0,03-01-2023 02:22
TXN0014769,15596,Smartwatch Series A - 3 ; Wireless Mouse - 1,0,03-01-2023 03:17
TXN0005066,2097,USB Flash Drive 64GB - 3,5,03-01-2023 04:01
TXN0013821,598,HDMI Cable 2m - 2,0,03-01-2023 06:18
TXN0010397,2199,WiFi Router Dual Band - 1,0,03-01-2023 06:47
TXN0007304,27997,LED Monitor 24 Inch - 2 ; Drone Mini - 1,0,03-01-2023 07:40
TXN0009962,44995,LED Monitor 24 Inch - 5,0,03-01-2023 08:02
TXN0013619,7495,Wireless Charging Pad - 5,0,03-01-2023 10:11
TXN0019917,1398,USB Flash Drive 64GB - 2,0,03-01-2023 12:27
TXN0016346,8796,WiFi Router Dual Band - 4,0,03-01-2023 12:46
TXN0005895,3596,LED Desk Lamp USB Powered - 4,3,03-01-2023 17:34
TXN0015246,13996,Mini UPS for Router - 1 ; Noise Cancelling Earbuds - 3,0,03-01-2023 18:32
TXN0011070,9999,Drone Mini - 1,0,03-01-2023 19:41
TXN0012230,29997,Drone Mini - 3,0,03-01-2023 20:49
TXN0004428,22396,Ethernet Cable 5m - 1 ; Action Camera 4K - 2 ; VR Headset Basic - 1,5,03-01-2023 20:58
TXN0002071,1599,Wireless Earphones - 1,0,03-01-2023 21:03
TXN0000967,11998,VR Headset Basic - 2,4,03-01-2023 21:44
TXN0003466,11996,Gaming Headset - 4,4,03-01-2023 21:59
TXN0008159,4999,Smartwatch Series A - 1,0,03-01-2023 22:24
TXN0019339,6598,SSD 500GB - 2,6,04-01-2023 00:16
TXN0014555,1798,Laptop Cooling Pad - 2,0,04-01-2023 00:24
TXN0012205,3097,RGB Strip Light - 1 ; Bluetooth Tracker - 2,0,04-01-2023 00:46
TXN0007201,20497,Drone Mini - 2 ; RGB Strip Light - 1,4,04-01-2023 01:23
TXN0007269,6597,WiFi Router Dual Band - 3,4,04-01-2023 02:51
TXN0016394,4494,USB Flash Drive 64GB - 3 ; Smart LED Bulb - 3,5,04-01-2023 03:39
TXN0014125,3296,LED Desk Lamp USB Powered - 3 ; USB Hub 4-Port - 1,0,04-01-2023 04:29
TXN0000854,6495,USB Flash Drive 64GB - 3 ; WiFi Router Dual Band - 2,3,04-01-2023 04:36
TXN0017513,13998,Soundbar Home - 2,0,04-01-2023 05:43
TXN0001405,13998,Soundbar Home - 2,4,04-01-2023 06:04
TXN0001947,14897,Soundbar Home - 2 ; Laptop Cooling Pad - 1,0,04-01-2023 07:11
TXN0016455,2199,WiFi Router Dual Band - 1,0,04-01-2023 07:35
TXN0015674,3198,Wireless Earphones - 2,0,04-01-2023 08:25
TXN0016172,1197,Ethernet Cable 5m - 3,0,04-01-2023 10:56
TXN0015614,5196,Laptop Cooling Pad - 3 ; Desk Microphone - 1,4,04-01-2023 11:20
TXN0001303,1397,HDMI Cable 2m - 2 ; Smart LED Bulb - 1,0,04-01-2023 11:34
TXN0018350,999,USB-C Fast Charger - 1,0,04-01-2023 11:50
